#"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
110	0.05500000000000004	-159085.01046448812	155.8501851084438	0
120	0.060000000000000046	-158372.14375999654	156.09618815492993	0.761
130	0.06500000000000004	-154630.09566216602	151.83164101268255	0.838
140	0.07000000000000005	-155546.40294825635	153.9627943380657	0.861
150	0.07500000000000005	-158031.04714621787	159.95847798221155	0.875
160	0.08000000000000006	-153663.43765480435	154.22221212901803	0.885
170	0.08500000000000006	-155052.74732749138	157.86644960787993	0.889
180	0.09000000000000007	-153676.4141136959	156.93700604812037	0.894
190	0.09500000000000007	-153612.15442516262	158.31239882538833	0.897
200	0.10000000000000007	-152313.43948854628	157.52727359461474	0.901
210	0.10500000000000008	-153201.0783600362	160.41601897867548	0.901
220	0.11000000000000008	-151573.03095528772	159.3363930189131	0.902
230	0.11500000000000009	-152476.2297679266	162.01991255219437	0.904
240	0.12000000000000009	-151294.240107161	161.6877656831169	0.905
250	0.12500000000000008	-151303.611329993	163.13062251136427	0.894
260	0.1300000000000001	-150628.27610944767	163.46636742794914	0.896
270	0.1350000000000001	-150649.35711260844	164.5648135135303	0.898
280	0.1400000000000001	-150413.75742212043	165.61139357737764	0.9
290	0.1450000000000001	-149690.69059550943	165.75936556794156	0.902
300	0.1500000000000001	-149722.06420469005	167.1903876060648	0.903
310	0.1550000000000001	-149460.28082767897	168.08048647077266	0.904
320	0.16000000000000011	-148830.92265818457	168.4723414007701	0.905
330	0.16500000000000012	-148605.8245081864	169.29844302354326	0.906
340	0.17000000000000012	-148415.67124508478	170.5614323336057	0.906
350	0.17500000000000013	-147908.95536424906	170.97560121454157	0.9
360	0.18000000000000013	-147809.8349484995	172.50176361715646	0.901
370	0.18500000000000014	-146499.36421363216	171.66475628332114	0.901
380	0.19000000000000014	-147101.59140713295	173.88530291519066	0.901
390	0.19500000000000015	-146352.7070604725	174.0531947553828	0.902
400	0.20000000000000015	-146496.1742274307	175.38765018485313	0.902
410	0.20500000000000015	-146242.4841056657	176.48592394898265	0.903
420	0.21000000000000016	-145569.80027730428	176.5478939397691	0.904
430	0.21500000000000016	-144985.92543971553	176.6686764171754	0.904
440	0.22000000000000017	-145042.57501921023	177.94941370310366	0.905
450	0.22500000000000017	-144916.348029578	179.10589526146765	0.904
460	0.23000000000000018	-144713.94343788747	179.85450229092433	0.9
470	0.23500000000000018	-143805.1235297192	179.85356290840406	0.9
480	0.24000000000000019	-144218.55814403007	181.8441582602168	0.901
490	0.2450000000000002	-143696.42381728653	182.41188574891467	0.901
500	0.25000000000000017	-143385.31674825904	183.13093408794248	0.902
510	0.25500000000000017	-142885.24054872413	183.73546636036315	0.903
520	0.2600000000000002	-142456.43018834354	184.19591682587784	0.903
530	0.2650000000000002	-142036.9249055164	184.78855024951486	0.9
540	0.2700000000000002	-141515.90603597867	185.16751036909093	0.9
550	0.2750000000000002	-141926.0869755802	186.9132615873722	0.901
560	0.2800000000000002	-141479.31988640726	187.28415601993706	0.902
570	0.2850000000000002	-141377.5789304508	188.11314637921754	0.902
580	0.2900000000000002	-140638.4283797008	188.18987613793095	0.902
590	0.2950000000000002	-140274.58468490574	188.7632808821412	0.903
600	0.3000000000000002	-140259.86758304707	189.87960231116514	0.903
610	0.3050000000000002	-139990.29541025887	190.6221742988364	0.904
620	0.3100000000000002	-139777.28163499857	191.20098126865682	0.904
630	0.3150000000000002	-139372.70182002004	191.77256124468357	0.905
640	0.32000000000000023	-138641.96263883187	191.7022620038932	0.905
650	0.32500000000000023	-138875.70357193032	192.8321892117864	0.906
660	0.33000000000000024	-138551.3510881027	193.37496653124776	0.906
670	0.33500000000000024	-138228.32370026625	193.78536555347537	0.903
680	0.34000000000000025	-138186.2108391908	194.93732331762914	0.904
690	0.34500000000000025	-137994.0702968665	195.69466172019315	0.904
700	0.35000000000000026	-137993.09600653575	196.76044684127388	0.904
710	0.35500000000000026	-138206.9040081111	198.1705791781031	0.905
720	0.36000000000000026	-137050.18449561868	197.14132639416326	0.905
730	0.36500000000000027	-136390.22555543628	197.07707225594652	0.906
740	0.3700000000000003	-135959.0545581087	197.2881366882605	0.906
750	0.3750000000000003	-135715.1947543571	197.78936915133755	0.906
760	0.3800000000000003	-135837.57874148354	199.14748882234989	0.906
770	0.3850000000000003	-135780.31328883686	200.0729434013475	0.904
780	0.3900000000000003	-135617.20044212774	200.8724302003412	0.904
790	0.3950000000000003	-135455.9954378139	201.51359946846435	0.905
800	0.4000000000000003	-134905.13866133266	201.68361212849882	0.904
810	0.4050000000000003	-135055.63365966102	202.73335251662013	0.905
820	0.4100000000000003	-134544.1207441558	203.03599288957156	0.905
830	0.4150000000000003	-134787.9217086001	204.4959686206068	0.905
840	0.4200000000000003	-134744.24337853136	205.357927815602	0.906
850	0.4250000000000003	-134134.8473416266	205.42759903805623	0.906
860	0.4300000000000003	-134056.42626214205	206.26623480863321	0.904
870	0.43500000000000033	-133852.25730959827	206.75125227134632	0.904
880	0.44000000000000034	-133106.0073696652	206.42367529972694	0.905
890	0.44500000000000034	-133027.80791374895	206.8143687184278	0.905
900	0.45000000000000034	-133051.14702179166	207.73694008261987	0.905
910	0.45500000000000035	-132338.5348121052	207.6639191534753	0.905
920	0.46000000000000035	-132110.86372539843	208.0032216880107	0.906
930	0.46500000000000036	-131994.3638266174	208.5416618825752	0.906
940	0.47000000000000036	-132533.75706797434	210.4686721680325	0.906
