#"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
11000	10.999999999999343	-76068.6716359464	300.90618096270504	0
12000	11.999999999998789	-77246.2712261914	299.2771222834281	2.64
13000	12.999999999998234	-77711.32093161065	300.9568189739768	2.64
14000	13.99999999999768	-78268.48941702611	302.0563700591305	2.62
15000	14.999999999997126	-79079.31239628821	299.94973013689514	2.62
16000	15.999999999996572	-80222.11946999229	300.53164893971643	2.63
17000	16.999999999997794	-82740.05002214282	300.1911757956288	2.63
18000	17.999999999999016	-82853.56102028539	299.4974176705323	2.63
19000	19.000000000000238	-81896.81968418488	300.5351230116236	2.63
20000	20.00000000000146	-84119.65430740346	298.8812915584904	2.63
21000	21.000000000002682	-84309.43564945649	298.3631445824825	2.63
22000	22.000000000003904	-84469.32174987503	300.95059145185456	2.63
23000	23.000000000005127	-85531.10634353489	301.14735979914747	2.63
24000	24.00000000000635	-85027.92905774995	301.74293106604904	2.59
25000	25.00000000000757	-85739.26679649725	301.341871596898	2.57
26000	26.000000000008793	-86460.05224674908	299.3631392520708	2.54
27000	27.000000000010015	-87633.8218955523	300.37424094760996	2.54
28000	28.000000000011237	-86204.968800681	300.7878788886749	2.55
29000	29.00000000001246	-87487.08937221626	300.9856122910301	2.55
30000	30.00000000001368	-87327.19226981688	298.7177188503916	2.56
31000	31.000000000014904	-86409.09239655835	301.34980137074035	2.56
