#"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
11000	10.999999999999343	-94516.09644989605	300.5461809182915	0
12000	11.999999999998789	-96255.97009144598	300.7171426814456	2.64
13000	12.999999999998234	-96727.72547988727	299.7696370257289	2.66
14000	13.99999999999768	-97120.27636014129	300.2653477556748	2.66
15000	14.999999999997126	-96345.69270396064	299.9858602929433	2.66
16000	15.999999999996572	-98682.77951936319	301.0498585390383	2.65
17000	16.999999999997794	-100792.71111798545	299.0006025023267	2.65
18000	17.999999999999016	-100882.17970725044	299.54038683522094	2.65
19000	19.000000000000238	-100885.51708862113	297.24916440181516	2.65
20000	20.00000000000146	-101158.64086864237	300.98095149061896	2.64
21000	21.000000000002682	-101534.17945883542	301.4827362212806	2.63
22000	22.000000000003904	-102528.51413102145	300.2281664188028	2.63
23000	23.000000000005127	-102582.97127379605	299.3371192627668	2.63
24000	24.00000000000635	-102298.49437232508	300.1947733083471	2.63
25000	25.00000000000757	-101833.74633891392	300.20043404898473	2.63
26000	26.000000000008793	-102800.32582506968	300.71693335747244	2.63
27000	27.000000000010015	-104116.80206491891	301.1640314810099	2.63
28000	28.000000000011237	-104929.45720796584	300.3623061753199	2.63
29000	29.00000000001246	-104088.46863639835	300.65650910037465	2.63
30000	30.00000000001368	-104118.85427325417	300.8539996210123	2.64
31000	31.000000000014904	-105329.15150119149	302.5883490425494	2.64
32000	32.00000000001612	-105133.61203705025	301.9900487747987	2.64
33000	33.00000000001379	-104900.25872682474	299.87849193227015	2.64
34000	34.00000000001146	-105753.31230545914	301.98555055935793	2.64
35000	35.00000000000913	-105609.11682288541	300.3241238947668	2.64
36000	36.0000000000068	-105533.40881205903	299.21191704453014	2.64
37000	37.00000000000447	-106705.5445275257	299.8564190981114	2.64
38000	38.00000000000214	-104913.17038894806	298.71766673663546	2.64
39000	38.99999999999981	-105799.17871847007	299.7024798291489	2.64
40000	39.99999999999748	-106356.4913799807	299.78673894883343	2.64
