#"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Density (g/mL)"	"Speed (ns/day)"
11000	21.999999999998685	-383787.5117543583	299.8347262609204	1.0286965423893057	0
12000	23.999999999997577	-383916.555656011	300.93016463009224	1.0261988765737384	11.4
13000	25.99999999999647	-383064.1157406915	300.1372115981097	1.0271672140474142	11.4
14000	27.99999999999536	-382966.0825361596	299.9292052569163	1.0253254129117628	11.4
15000	29.99999999999425	-383175.84345298714	301.77897612110587	1.0306547194867663	11.4
16000	31.999999999993143	-383396.3057789163	298.19390950892233	1.0289532898031075	11.4
17000	33.99999999999559	-382466.2362700995	301.0112679076293	1.0320639023938332	11.4
18000	35.99999999999803	-382273.5851026159	302.26941561506544	1.026131346383714	11.4
19000	38.000000000000476	-383590.49711015454	297.64941947365605	1.0277888209755057	11.4
20000	40.00000000000292	-383301.77287288645	301.0374378402562	1.0286411191703586	11.4
21000	42.000000000005365	-383003.02561921626	302.2342687599516	1.0277159012791925	11.4
22000	44.00000000000781	-384147.9482364156	303.8702544466434	1.0314239386847277	11.4
23000	46.00000000001025	-383425.4659429046	300.6746931565831	1.0285918016701554	11.4
24000	48.0000000000127	-383887.91131808097	301.30221666895056	1.0274734198646895	11.4
25000	50.00000000001514	-383188.93319550465	301.7815394044604	1.0254578459762698	11.4
26000	52.000000000017586	-383386.61399396294	299.4354543765729	1.0259652463619926	11.4
27000	54.00000000002003	-383957.9212799856	301.6532975755057	1.0266363683911086	11.4
28000	56.000000000022474	-383450.86433744704	301.26326532771157	1.0273565986846678	11.4
29000	58.00000000002492	-382950.8135100198	299.65822302811523	1.023749682944644	11.4
30000	60.00000000002736	-384026.12033433275	298.43987674673286	1.0201793223648452	11.4
31000	62.00000000002981	-383378.8383315869	298.7989957254258	1.0236502704760533	11.4
32000	64.00000000003224	-383360.0664005168	298.4150821303242	1.0218039220729993	11.4
33000	66.00000000002758	-383371.54845435225	302.08547064713963	1.0268493740801856	11.4
34000	68.00000000002292	-383625.49637915305	299.52008254432036	1.0261509756781884	11.4
35000	70.00000000001826	-383358.5676497524	300.052207747149	1.027934458748934	11.4
36000	72.0000000000136	-383641.7762721397	301.0558157034327	1.0275270568569441	11.4
37000	74.00000000000894	-383991.0684096604	301.16023048031906	1.0263961217386155	11.4
38000	76.00000000000428	-384141.5594039584	303.3926290007898	1.0293123596121294	11.4
39000	77.99999999999962	-384024.1885586974	299.82512582532894	1.032481621786844	11.4
40000	79.99999999999496	-383215.18478505255	303.15026585385516	1.02426856007408	11.4
41000	81.9999999999903	-383279.19332144444	302.62690182496135	1.024714462761796	11.4
42000	83.99999999998563	-383588.5239645716	300.5734971950117	1.0293314596154826	11.4
43000	85.99999999998097	-382956.42237895506	299.8353437554371	1.027936688389863	11.4
44000	87.99999999997631	-384394.4600528878	303.02019715645247	1.029410915976996	11.4
45000	89.99999999997165	-384609.00516484136	302.20447610618703	1.0228779476316627	11.4
46000	91.99999999996699	-384053.30581016775	298.020692970031	1.02464873448228	11.4
47000	93.99999999996233	-383643.6904223433	300.76992259577696	1.0254490344730678	11.4
48000	95.99999999995767	-383351.34288530855	302.97168193453564	1.0242973968946683	11.4
49000	97.999999999953	-383118.8076398214	302.3491772088429	1.025713121452522	11.4
50000	99.99999999994834	-383907.6016999632	301.5990660015961	1.0285942553551344	11.4
51000	101.99999999994368	-383081.24777528725	301.9761735086534	1.0290581082458625	11.4
52000	103.99999999993902	-383684.14026284753	300.1364755436509	1.0260050674244836	11.4
53000	105.99999999993436	-383685.20904633554	298.7858815234758	1.0253161688769852	11.4
54000	107.9999999999297	-384640.2470554883	299.6583993350358	1.0276179088125776	11.4
55000	109.99999999992504	-383612.59328810254	300.5801292741827	1.0296634114928014	11.4
56000	111.99999999992038	-382209.0424081056	302.2039796382858	1.0241250797524075	11.4
57000	113.99999999991572	-382262.81543671107	297.82226978516644	1.0224888405546646	11.4
58000	115.99999999991105	-382959.025550023	300.7845057038964	1.0227069596878673	11.4
59000	117.9999999999064	-383783.43195134355	299.17719053406114	1.0274841088658986	11.4
60000	119.99999999990173	-383337.2143615721	301.16058723336613	1.0264297967954545	11.4
61000	121.99999999989707	-384259.74959355424	302.0257583853465	1.026462184358326	11.4
62000	123.99999999989241	-383785.66608400864	301.19504865272353	1.0255192359327485	11.4
63000	125.99999999988775	-383330.77487627626	300.9221432895998	1.0286047625503325	11.4
64000	127.99999999988309	-384759.0079663744	301.8440391377296	1.0313312631047054	11.4
65000	129.99999999989262	-383814.83745262097	303.79743953149546	1.0280667138828892	11.4
66000	131.99999999990217	-383279.81405283726	299.7941780639549	1.0226579208511228	11.4
67000	133.99999999991172	-383760.0689238728	303.27873744041324	1.0278351474728653	11.4
68000	135.99999999992127	-384834.0699516163	299.6199427613599	1.032215431384275	11.4
69000	137.99999999993082	-385408.0805620035	302.78039197645523	1.030383599440667	11.4
70000	139.99999999994037	-384662.75122759736	299.62021536238666	1.032645195788849	11.4
71000	141.99999999994992	-384399.0922016138	298.19422673424793	1.0286734611719301	11.4
72000	143.99999999995947	-383634.70888472407	299.4144594237581	1.0303602015623485	11.4
73000	145.99999999996902	-383455.85190138075	302.50229297666164	1.0286801009271291	11.4
74000	147.99999999997857	-384193.1913350563	301.7985368363822	1.0275941626935332	11.3
75000	149.99999999998812	-383846.5838377391	299.3269842363263	1.029811111240783	11.3
76000	151.99999999999767	-383083.36775681254	300.6207985238675	1.0272540625702578	11.3
77000	154.00000000000722	-383788.85465531267	301.28134852783154	1.030008937155826	11.3
78000	156.00000000001677	-382422.1439029594	300.3813819681248	1.0253362142826423	11.3
